source_kind,source_id,target_kind,target_id,polarity
clause,109,variable,25,1
clause,109,variable,7,1
clause,109,variable,10,1
clause,110,variable,31,-1
clause,110,variable,14,-1
clause,110,variable,28,-1
clause,111,variable,8,1
clause,111,variable,12,1
clause,111,variable,15,-1
clause,112,variable,5,-1
clause,112,variable,20,-1
clause,112,variable,15,1
clause,113,variable,1,-1
clause,113,variable,26,1
clause,113,variable,24,-1
clause,114,variable,17,-1
clause,114,variable,21,-1
clause,114,variable,3,-1
clause,115,variable,8,-1
clause,115,variable,13,1
clause,115,variable,5,-1
clause,116,variable,25,-1
clause,116,variable,28,1
clause,116,variable,27,1
clause,117,variable,2,-1
clause,117,variable,27,1
clause,117,variable,30,1
clause,118,variable,25,1
clause,118,variable,29,1
clause,118,variable,28,1
clause,119,variable,9,1
clause,119,variable,6,1
clause,119,variable,29,1
clause,120,variable,8,-1
clause,120,variable,14,1
clause,120,variable,2,-1
clause,121,variable,27,1
clause,121,variable,7,-1
clause,121,variable,6,1
clause,122,variable,24,1
clause,122,variable,16,1
clause,122,variable,14,-1
clause,123,variable,29,1
clause,123,variable,17,-1
clause,123,variable,20,1
clause,124,variable,15,-1
clause,124,variable,1,1
clause,124,variable,26,1
clause,125,variable,12,1
clause,125,variable,31,-1
clause,125,variable,26,1
clause,126,variable,27,-1
clause,126,variable,23,1
clause,126,variable,14,-1
clause,127,variable,26,1
clause,127,variable,23,1
clause,127,variable,25,-1
clause,128,variable,4,1
clause,128,variable,13,-1
clause,128,variable,31,1
clause,129,variable,14,-1
clause,129,variable,29,1
clause,129,variable,16,-1
clause,130,variable,11,-1
clause,130,variable,14,1
clause,130,variable,31,1
clause,131,variable,25,1
clause,131,variable,3,1
clause,131,variable,13,-1
clause,132,variable,3,-1
clause,132,variable,11,-1
clause,132,variable,25,1
clause,133,variable,5,1
clause,133,variable,10,1
clause,133,variable,21,-1
clause,134,variable,2,-1
clause,134,variable,19,-1
clause,134,variable,24,-1
clause,135,variable,10,1
clause,135,variable,6,-1
clause,135,variable,0,1
